Designator,Footprint,Quantity,Value,LCSC Part #
BATTERY,MY-AA-04_Silkscreen_Only,1,Battery,C2979179
BT1,MY-AA-04,1,Battery_Clip_+,C2979179
BT3,MY-AA-04,1,Battery_Clip_-,C2979179
C1,0805,1,22uF,C45783
"C2, C4",0805,2,100nF,C49678
C3,0805,1,10uF,C15850
C5,1206,1,100uF,C15008
C6,0805,1,1uF,C28323
"D1, D13, D19, D6",0805,4,GREEN,C2297
"D10, D11, D12, D14, D15, D16, D17, D18, D2, D3, D4, D5, D7, D8, D9",0805,15,WHITE,C34499
"D20, D23",0805,2,YELLOW,C2296
D21,0805,1,RED,C84256
D22,0805,1,BLUE,C2293
F1,1206,1,Fuse,C261957
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,C2988369
MK1,LMA3722T421-OA5,1,LMA3722T421-OA5,C5373233
"R1, R10, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R3, R4, R5, R6, R9",0805,23,1K,C17513
R11,0805,1,10K,C17414
R27,0805,1,2K,C17604
"R7, R8",0805,2,5.1K,C27834
SW1,SW_SPDT_PCM12,1,SPDT,C431541
"SW10, SW11, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_Push_1P1T_XKB_TS-1187A,10,SW_Push,C318884
U1,SOT-23-6,1,USBLC6-2SC6,C2827654
U2,SOT-223-3_TabPin2,1,TLV1117LV-33,C15578
U3,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N8R8,C2913201
U4,TSOT-23-5,1,ME4054BM5G-N,C478383
X1,Simple_Addon_v2-BADGE-2x3,1,Simple_Addon_v2,C2935983
