Designator,Mid X,Mid Y,Rotation,Layer
BATTERY,210.335,-139.46,0.0,top
BT1,209.64,-139.51,0.0,top
BT3,209.64,-139.5,0.0,top
C1,198.125,-65.75,90.0,top
C2,200.175,-65.75,90.0,top
C3,191.475,-66.05,0.0,top
C4,168.075,-121.45,90.0,top
C5,177.8925,-127.18,90.0,top
C6,179.375,-97.025,0.0,top
D1,225.8,-68.425,0.0,bottom
D10,174.025,-79.1,0.0,bottom
D11,181.9,-79.15,0.0,bottom
D12,178.025,-85.1,0.0,bottom
D13,180.5425,-122.93,270.0,top
D14,242.425,-98.025,0.0,bottom
D15,242.4,-102.875,0.0,bottom
D16,234.375,-102.875,0.0,bottom
D17,237.775,-114.625,0.0,bottom
D18,187.0,-101.2,0.0,bottom
D19,179.375,-103.775,0.0,bottom
D2,202.44,-65.18875,0.0,bottom
D20,187.525,-111.225,180.0,bottom
D21,171.3,-111.225,0.0,bottom
D22,179.25,-118.475,0.0,bottom
D23,175.275,-103.975,90.0,top
D3,207.065,-65.08875,0.0,bottom
D4,211.95,-65.1,0.0,bottom
D5,216.675,-65.0625,0.0,bottom
D6,191.525,-68.325,0.0,bottom
D7,241.25,-71.05,0.0,bottom
D8,241.3,-76.475,0.0,bottom
D9,178.05,-76.05,0.0,bottom
F1,185.01,-111.015,270.0,top
J1,169.835,-92.755,270.0,top
MK1,247.485,-71.025,0.0,bottom
R1,225.775,-70.45,0.0,bottom
R10,236.575,-71.05,0.0,top
R11,187.45,-66.075,0.0,top
R12,197.875,-73.3,180.0,top
R13,197.9,-75.3,180.0,top
R14,197.9,-77.3,180.0,top
R15,197.925,-79.3,180.0,top
R16,180.3,-127.65,90.0,top
R17,232.95,-80.9,270.0,top
R18,230.925,-80.9,270.0,top
R19,228.95,-80.9,270.0,top
R2,202.4,-67.2,0.0,bottom
R20,226.975,-80.9,270.0,top
R21,201.375,-88.225,270.0,top
R22,199.425,-88.225,270.0,top
R23,207.35,-88.225,270.0,top
R24,203.375,-88.225,270.0,top
R25,205.375,-88.225,270.0,top
R26,175.275,-100.125,270.0,top
R27,178.45,-103.95,270.0,top
R3,207.075,-67.1,0.0,bottom
R4,211.925,-67.1,0.0,bottom
R5,216.65,-67.075,0.0,bottom
R6,191.5,-70.35,0.0,bottom
R7,169.65,-99.125,0.0,top
R8,169.75,-86.4,180.0,top
R9,236.575,-69.05,0.0,top
SW1,169.185,-114.13,270.0,top
SW10,179.425,-133.925,0.0,bottom
SW11,170.8,-127.425,0.0,bottom
SW2,189.55,-69.95,0.0,top
SW3,229.575,-70.125,0.0,top
SW4,244.9,-126.7,0.0,bottom
SW5,249.975,-133.1,0.0,bottom
SW6,239.5,-133.025,0.0,bottom
SW7,244.725,-139.425,0.0,bottom
SW8,222.175,-131.175,0.0,bottom
SW9,221.8,-141.775,0.0,bottom
U1,178.16,-92.755,0.0,top
U2,172.8425,-125.505,90.0,top
U3,211.05,-73.765,0.0,top
U4,179.485,-99.955,0.0,top
X1,246.8,-85.645,0.0,bottom
