Designator,Mid X,Mid Y,Rotation,Layer
BT1,209.64,-139.51,0.0,top
BT2,210.505,-139.39,0.0,top
BT3,209.64,-139.5,0.0,top
C1,168.5675,-121.88,90.0,top
C10,207.1875,-87.95,0.0,top
C11,221.9875,-91.75,0.0,top
C12,213.1875,-85.15,90.0,top
C13,204.8875,-94.15,180.0,top
C14,196.4875,-96.965,270.0,top
C15,221.9875,-94.45,0.0,top
C16,205.5875,-98.95,270.0,top
C17,210.7875,-101.15,270.0,top
C18,214.1875,-85.15,90.0,top
C19,215.8875,-101.13,270.0,top
C2,224.0875,-94.45,270.0,top
C20,218.1875,-85.55,90.0,top
C21,209.3875,-85.65,90.0,top
C22,220.3875,-97.85,270.0,top
C3,224.0875,-91.65,90.0,top
C4,228.65,-108.25,0.0,top
C5,177.8925,-127.18,90.0,top
C6,179.6425,-97.655,0.0,top
C7,207.6375,-90.15,90.0,top
C8,206.6875,-90.15,90.0,top
C9,213.4875,-101.23,270.0,top
D1,175.3225,-103.255,90.0,top
D10,175.1625,-70.8875,0.0,bottom
D11,179.25,-118.475,0.0,bottom
D12,178.0,-79.9,0.0,bottom
D13,186.275,-105.375,0.0,bottom
D14,243.225,-76.125,0.0,bottom
D15,171.6,-74.7,0.0,bottom
D16,186.8,-111.05,0.0,bottom
D17,171.8,-79.4,0.0,bottom
D18,178.1375,-74.9,0.0,bottom
D19,172.65,-105.075,0.0,bottom
D2,180.5425,-122.93,270.0,top
D20,242.425,-98.025,0.0,bottom
D21,171.675,-111.225,0.0,bottom
D22,234.375,-102.875,0.0,bottom
D23,242.4,-102.875,0.0,bottom
D24,222.325,-65.675,0.0,bottom
D25,195.45,-67.525,0.0,bottom
D3,202.64,-65.06375,0.0,bottom
D4,207.265,-64.96375,0.0,bottom
D5,212.15,-64.975,0.0,bottom
D6,216.875,-64.9375,0.0,bottom
D7,237.265,-113.275,0.0,bottom
D8,179.05,-103.425,0.0,bottom
D9,241.25,-71.05,0.0,bottom
F1,185.01,-111.015,270.0,top
J1,169.835,-92.755,270.0,top
J5,180.455,-68.085,90.0,bottom
L1,205.0875,-90.15,90.0,top
MK1,247.485,-71.025,0.0,bottom
R1,178.3475,-102.98,270.0,top
R10,202.255,-68.18875,0.0,bottom
R11,206.84,-68.06375,0.0,bottom
R12,211.775,-68.15,0.0,bottom
R13,216.45,-68.0875,0.0,bottom
R14,204.8875,-93.15,0.0,top
R15,204.8875,-92.15,0.0,top
R16,233.55,-110.55,0.0,top
R17,191.1,-115.8,180.0,top
R18,237.65,-71.05,0.0,top
R19,174.725,-73.9375,180.0,top
R2,175.3225,-99.88,270.0,top
R20,195.9,-115.75,180.0,top
R21,177.5,-83.05,180.0,top
R22,191.2,-108.6,180.0,top
R23,239.05,-76.125,0.0,top
R24,171.15,-77.8,180.0,top
R25,191.125,-113.35,180.0,top
R26,171.3,-82.525,180.0,top
R27,177.675,-78.0,180.0,top
R28,191.15,-110.95,180.0,top
R29,238.4,-98.025,0.0,top
R3,180.525,-128.15,90.0,top
R30,195.925,-113.325,180.0,top
R31,230.335,-102.875,0.0,top
R32,238.225,-102.875,0.0,top
R33,221.925,-68.55,180.0,top
R34,195.045,-70.5,180.0,top
R4,221.9875,-92.95,0.0,top
R5,170.76,-100.005,90.0,top
R6,170.76,-85.795,90.0,top
R7,227.3875,-85.05,0.0,top
R8,205.3375,-87.95,0.0,top
R9,195.0875,-104.55,90.0,top
SW1,169.185,-114.13,270.0,top
SW10,179.425,-133.925,0.0,bottom
SW11,170.8,-127.425,0.0,bottom
SW2,190.15,-101.1,0.0,top
SW3,228.175,-81.525,180.0,top
SW4,244.9,-126.7,0.0,bottom
SW5,249.975,-133.1,0.0,bottom
SW6,239.5,-133.025,0.0,bottom
SW7,244.725,-139.425,0.0,bottom
SW8,222.175,-131.175,0.0,bottom
SW9,221.8,-141.775,0.0,bottom
U1,172.8425,-125.505,90.0,top
U2,178.16,-92.755,0.0,top
U3,179.485,-99.955,0.0,top
U4,213.6875,-93.1535,90.0,top
U5,200.9925,-99.75,0.0,top
X1,246.8,-85.645,0.0,bottom
Y1,227.7375,-93.15,90.0,top
